Respondents,European,Canadian,Japanese,X6.19,X5.49,X4.79,Rich.full.bodied,Regular,Crisp.and.clear,Strong,Mild,Very.mild,Full,Regular.1,Low,Six.12Oz.Large,Six.12Oz.Small,Four.16Oz,Green.Label,Brown.Label,Brown.Painted,Respondents,Weekly_Consumption,Age_1_7,Income_1_7,Education_1_6,Sex_M_1_F_2,clusters,classes
3602,17,0,7,9,0,4,11,0,17,0,19,8,10,0,15,17,0,0,1,5,0,3602,10,2,1,5,1,1,1
1694,15,0,16,2,0,0,13,0,12,0,22,2,13,0,9,25,0,14,9,0,3,1694,7,7,7,6,1,1,1
7326,29,0,11,0,4,4,0,9,10,0,23,1,15,0,0,12,0,0,2,8,0,7326,10,7,7,5,1,1,1
3485,12,0,1,2,9,0,15,0,8,0,13,11,0,15,33,13,0,11,0,2,5,3485,24,1,4,3,1,1,1
1035,0,4,15,6,0,12,4,0,5,0,18,0,30,7,0,8,0,12,7,0,6,1035,24,6,4,6,1,1,1
763,16,0,10,6,12,0,10,3,0,0,13,6,27,0,19,12,0,14,0,8,6,763,3,3,2,5,1,1,1
5655,12,3,0,11,0,15,11,0,22,0,20,20,13,0,12,15,0,0,0,4,4,5655,2,4,4,6,1,1,1
5320,17,0,25,11,10,0,27,0,19,3,3,0,15,0,6,12,2,0,0,5,6,5320,12,7,7,6,1,1,1
4413,21,0,13,2,3,0,0,2,12,0,24,11,0,7,8,21,3,0,0,11,8,4413,3,4,7,6,1,1,1
4537,23,0,7,0,6,3,9,0,13,0,22,8,11,0,11,20,0,14,0,0,5,4537,4,6,3,2,1,1,1
1275,12,0,15,1,2,0,3,0,18,3,34,0,17,1,0,11,0,6,3,0,2,1275,6,4,6,5,1,1,1
388,15,0,10,0,7,9,11,0,1,6,10,0,0,29,27,3,1,0,0,24,20,388,4,7,7,2,1,3,3
7211,6,0,3,2,9,0,21,0,11,0,7,6,0,28,15,10,3,0,0,8,19,7211,4,6,5,2,2,3,3
4350,23,0,13,7,0,1,7,0,8,0,20,11,23,0,8,8,4,0,0,12,4,4350,1,5,6,5,1,1,1
3819,0,16,25,4,17,0,7,2,0,12,0,12,19,0,8,0,16,11,0,4,1,3819,5,4,6,3,2,2,2
6855,25,0,16,3,3,0,15,0,10,1,17,0,22,0,10,10,0,14,0,0,4,6855,4,4,4,6,2,1,1
2024,15,0,8,8,0,0,43,0,14,0,3,7,0,0,13,6,5,0,0,9,5,2024,7,6,4,6,1,1,1
3373,14,0,22,10,7,0,39,0,13,5,0,5,4,9,0,0,5,4,5,0,10,3373,2,4,7,5,2,1,1
5701,24,0,12,3,0,4,40,0,4,0,9,13,0,3,6,9,0,8,3,0,4,5701,12,6,7,5,1,1,1
4174,15,0,16,11,7,0,14,0,22,0,9,1,22,7,0,7,0,2,0,0,12,4174,60,3,7,3,1,1,1
3996,19,0,12,11,7,0,11,0,19,0,10,6,1,0,19,12,0,3,0,9,8,3996,1,6,6,6,2,1,1
7447,1,6,0,0,18,5,7,0,9,0,14,7,2,0,21,15,0,7,17,1,0,7447,6,2,2,5,1,2,2
4491,0,10,13,24,0,7,0,18,13,7,0,10,10,0,12,17,0,0,5,7,0,4491,12,7,6,5,1,2,2
308,0,25,13,4,0,18,0,7,0,0,10,8,0,16,11,0,4,14,10,0,4,308,5,5,4,5,1,2,2
71,14,0,14,0,6,12,4,0,11,0,26,11,19,2,0,15,0,5,3,0,2,71,2,6,7,6,1,1,1
3967,16,0,0,5,3,0,23,0,14,0,17,14,4,0,23,9,0,3,0,8,4,3967,3,6,7,6,1,1,1
5824,21,14,0,11,0,2,19,0,21,0,20,3,8,0,5,10,0,8,8,0,8,5824,0,5,6,2,1,1,1
3520,32,0,36,4,0,4,10,1,0,17,13,0,10,0,5,18,0,8,3,6,0,3520,5,4,5,6,1,1,1
6157,23,0,19,0,3,1,3,0,12,0,26,15,19,0,2,10,0,3,0,6,7,6157,2,3,6,6,2,1,1
3028,13,0,3,0,1,13,7,0,13,0,13,0,0,20,16,18,0,8,11,0,7,3028,4,5,6,6,1,2,2
5870,16,0,10,4,2,0,20,0,20,0,25,10,12,0,16,17,0,9,0,1,3,5870,1,4,5,5,1,1,1
3800,7,1,0,8,0,3,23,0,25,0,21,7,22,0,1,7,4,0,0,8,11,3800,6,5,7,6,1,1,1
5637,16,0,13,0,1,10,17,0,5,0,17,13,16,0,5,16,5,0,6,8,0,5637,3,5,6,5,1,1,1
7460,26,0,19,0,2,1,0,12,16,0,19,7,18,0,10,16,0,9,0,3,0,7460,6,2,5,6,2,1,1
7173,0,30,10,0,5,14,14,0,10,4,5,0,0,16,23,2,0,7,7,0,4,7173,12,6,6,5,1,2,2
6910,11,0,3,0,0,3,12,0,18,0,21,5,26,0,17,19,0,9,3,1,0,6910,3,4,7,6,2,1,1
1555,9,0,17,4,15,0,12,5,0,0,18,20,0,23,11,0,6,7,0,0,6,1555,2,5,4,3,1,2,2
1743,16,0,22,1,0,8,40,5,0,2,0,2,0,3,3,8,0,18,2,0,6,1743,3,4,6,3,1,1,1
5043,7,15,0,16,0,15,0,7,5,4,0,8,19,0,0,7,6,0,28,5,0,5043,24,6,3,3,1,2,2
6814,15,0,7,0,1,0,40,0,7,0,19,12,15,0,5,9,0,2,0,2,2,6814,6,4,4,2,1,1,1
6605,8,7,0,2,1,0,15,0,23,10,44,0,10,0,0,8,0,3,6,0,1,6605,3,3,2,2,1,1,1
863,16,0,11,10,0,16,5,12,0,1,2,0,0,20,11,24,0,16,0,6,11,863,18,3,5,3,1,3,3
748,5,13,0,0,5,3,11,0,19,0,19,23,0,6,27,5,3,0,0,8,6,748,3,7,3,3,1,1,1
3507,0,17,6,6,0,0,20,0,4,10,0,5,0,13,26,0,4,16,3,0,6,3507,36,3,6,5,1,2,2
5262,0,5,1,2,9,0,5,0,24,11,25,0,18,0,9,17,0,1,0,0,2,5262,10,4,6,2,1,1,1
389,23,0,26,8,0,9,26,2,0,16,13,0,8,0,3,0,0,5,10,7,0,389,2,6,7,6,1,1,1
62,20,0,20,0,0,7,5,0,10,0,28,9,20,3,0,11,0,1,3,2,0,62,3,6,6,2,1,1,1
4480,42,0,34,4,0,7,0,2,2,12,8,0,1,0,11,14,0,9,0,11,4,4480,18,4,7,6,1,1,1
5543,15,8,0,0,3,5,9,0,19,9,24,0,16,0,3,8,0,8,14,0,6,5543,10,5,6,3,1,1,1
5839,19,0,9,1,1,0,22,0,11,0,22,8,22,0,8,12,0,7,0,1,3,5839,2,7,2,3,2,1,1
7308,13,4,0,0,20,0,29,0,18,0,4,4,3,6,0,0,24,8,4,0,4,7308,24,7,6,3,1,2,2
4956,7,5,0,9,9,0,8,0,14,16,22,0,21,0,8,19,0,15,4,0,9,4956,7,4,6,5,1,1,1
6551,24,0,17,31,0,8,3,2,0,1,8,0,6,0,2,0,12,1,3,16,0,6551,24,5,7,5,1,1,1
6312,14,0,7,0,0,1,24,0,12,0,21,5,21,0,8,16,0,11,2,0,3,6312,20,6,7,3,1,1,1
1696,13,0,12,1,0,1,8,0,24,0,20,20,22,0,25,11,1,0,7,5,0,1696,6,4,6,5,1,1,1
5856,13,5,0,19,8,0,5,0,9,0,9,12,7,0,28,16,0,12,3,0,0,5856,18,4,6,2,1,1,1
7413,14,0,11,0,10,11,5,0,10,0,25,14,24,1,0,14,0,4,2,0,3,7413,2,2,5,2,1,1,1
5400,0,4,10,0,3,20,4,0,18,0,18,0,0,7,11,16,0,12,7,0,5,5400,12,4,5,5,1,2,2
1176,4,0,13,7,0,12,5,0,16,10,17,0,5,0,12,6,0,16,11,0,13,1176,5,6,6,6,2,2,2
1595,0,3,3,0,0,15,44,0,11,4,11,0,6,6,0,6,0,9,10,0,8,1595,2,6,4,5,2,2,2
717,19,0,13,0,2,5,0,5,14,0,25,13,20,5,0,12,0,2,0,2,5,717,7,5,6,5,1,1,1
574,18,0,23,0,5,5,0,4,4,9,4,0,0,35,26,3,0,1,0,18,20,574,7,6,5,5,1,3,3
2523,8,0,10,0,16,7,8,0,10,6,0,7,3,15,0,35,21,0,8,0,0,2523,16,5,3,3,1,2,2
5035,18,0,13,0,0,6,4,0,8,0,26,14,27,0,8,10,0,4,4,4,0,5035,5,6,6,5,1,1,1
3154,17,0,12,2,3,0,8,0,16,2,22,0,20,0,10,19,0,8,2,0,4,3154,6,5,7,5,1,1,1
2029,10,0,13,0,2,0,23,0,8,0,18,10,30,0,13,12,0,6,3,2,0,2029,5,4,7,5,1,1,1
7134,6,1,0,12,5,0,13,0,21,14,23,0,20,0,13,10,0,12,2,0,6,7134,4,5,6,3,1,1,1
489,0,2,1,15,18,0,30,3,0,0,15,9,11,9,0,0,0,6,18,0,10,489,60,4,3,3,1,2,2
6674,17,0,20,4,5,0,12,0,10,0,18,4,17,0,10,23,0,12,4,0,3,6674,4,6,7,5,1,1,1
6550,17,1,0,12,8,0,13,0,7,0,14,12,4,0,27,13,0,8,3,4,0,6550,24,4,6,3,1,1,1
7415,0,24,26,4,3,0,23,0,4,0,9,16,5,15,0,0,3,4,5,0,13,7415,30,2,6,5,1,2,2
1232,16,7,0,0,4,9,15,0,16,0,26,11,22,5,0,5,0,1,4,0,5,1232,6,4,6,5,1,1,1
2054,4,12,0,0,16,8,6,0,25,0,9,12,0,3,26,0,1,4,4,0,5,2054,48,3,6,5,1,2,2
985,10,29,0,2,0,7,2,4,0,7,0,3,0,12,15,0,15,24,0,8,15,985,18,6,3,2,1,2,2
708,12,0,8,6,6,0,38,0,4,0,3,11,0,13,9,7,0,8,3,0,12,708,2,6,6,6,1,1,1
2013,19,0,13,0,9,3,4,0,15,4,15,0,0,10,1,13,0,1,0,10,18,2013,6,6,5,2,1,3,3
6316,21,0,8,0,2,13,9,0,9,0,22,17,21,0,3,11,0,2,0,2,2,6316,3,6,7,5,1,1,1
1676,25,31,0,0,10,11,7,0,13,0,13,13,10,2,0,1,7,0,0,10,15,1676,12,6,6,3,1,3,3
2936,8,0,18,0,16,0,3,0,10,0,6,0,0,10,12,13,0,5,0,19,25,2936,10,3,7,5,1,3,3
5855,20,26,0,0,8,12,25,0,6,0,14,17,4,2,0,0,8,9,0,1,8,5855,10,6,6,2,1,2,2
3617,7,0,13,12,12,0,10,0,14,0,18,17,0,0,21,17,0,0,3,4,0,3617,6,6,7,4,1,1,1
6221,4,0,9,0,11,9,0,0,12,0,9,1,28,3,0,13,1,0,17,12,0,6221,6,4,6,5,1,1,1
1283,19,0,6,14,5,0,3,0,9,0,9,5,8,0,25,18,0,8,0,5,1,1283,10,5,5,2,1,1,1
3212,20,0,15,0,0,4,2,0,11,0,17,7,23,0,9,23,0,6,0,1,0,3212,3,3,3,5,1,1,1
6817,21,19,0,0,1,14,10,0,10,0,22,25,15,3,0,2,6,0,0,7,8,6817,3,4,6,6,1,1,1
6970,10,1,0,13,9,0,5,0,14,0,9,1,0,3,34,20,0,15,0,0,1,6970,15,5,6,3,1,1,1
4420,19,0,19,9,11,0,0,8,17,5,0,0,3,0,15,0,9,21,0,11,8,4420,10,3,4,5,1,3,3
3762,0,15,19,0,20,19,0,11,5,0,9,13,0,16,17,1,0,10,0,4,10,3762,2,6,4,5,1,2,2
